STNAM,FIPST,LEAID,LEANM,DATE_CUR,ALL_MTH04NUMVALID_1415,ALL_MTH04PCTPROF_1415,ECD_MTH04NUMVALID_1415,ECD_MTH04PCTPROF_1415,HOM_MTH04NUMVALID_1415,HOM_MTH04PCTPROF_1415,ALL_MTH08NUMVALID_1415,ALL_MTH08PCTPROF_1415,ECD_MTH08NUMVALID_1415,ECD_MTH08PCTPROF_1415,HOM_MTH08NUMVALID_1415,HOM_MTH08PCTPROF_1415
TEXAS,48,4812420,CALALLEN ISD,13APR16,293.0,77.0,150.0,72.0,1.0,,286.0,92.0,112.0,87.0,2.0,
TEXAS,48,4812460,CALDWELL ISD,13APR16,145.0,82.0,86.0,72.0,,,106.0,72.0,57.0,64.0,1.0,
TEXAS,48,4812480,CALHOUN COUNTY ISD,13APR16,271.0,67.0,174.0,62.0,7.0,25.0,240.0,47.0,165.0,47.0,7.0,25.0
TEXAS,48,4812510,CALLISBURG ISD,13APR16,83.0,87.0,39.0,74.0,1.0,,82.0,72.0,40.0,74.0,,
TEXAS,48,4812540,CALVERT ISD,13APR16,13.0,25.0,8.0,25.0,,,15.0,25.0,13.0,25.0,,
TEXAS,48,4812640,CAMERON ISD,13APR16,133.0,72.0,88.0,67.0,5.0,,102.0,57.0,75.0,57.0,6.0,25.0
TEXAS,48,4812660,CAMPBELL ISD,13APR16,27.0,50.0,13.0,25.0,,,24.0,30.0,18.0,30.0,,
TEXAS,48,4812700,CANADIAN ISD,13APR16,81.0,77.0,34.0,54.0,,,54.0,84.0,17.0,40.0,,
TEXAS,48,4812750,CANTON ISD,13APR16,150.0,72.0,64.0,62.0,2.0,,120.0,92.0,50.0,45.0,1.0,
TEXAS,48,4812780,CANUTILLO ISD,13APR16,394.0,70.0,292.0,67.0,4.0,,306.0,73.0,231.0,72.0,1.0,
TEXAS,48,4812810,CANYON ISD,13APR16,709.0,86.0,224.0,77.0,4.0,,566.0,81.0,158.0,72.0,2.0,
TEXAS,48,4812870,CARLISLE ISD,13APR16,40.0,84.0,35.0,84.0,,,59.0,64.0,42.0,64.0,,
TEXAS,48,4812990,CARRIZO SPRINGS CISD,13APR16,186.0,47.0,145.0,42.0,7.0,25.0,116.0,47.0,86.0,47.0,3.0,
TEXAS,48,4813020,CARROLL ISD,13APR16,588.0,97.0,5.0,,,,627.0,50.0,10.0,25.0,,
TEXAS,48,4813050,CARROLLTON-FARMERS BRANCH ISD,13APR16,1980.0,74.0,1389.0,69.0,19.0,70.0,1418.0,67.0,1021.0,63.0,11.0,25.0
TEXAS,48,4813110,CARTHAGE ISD,13APR16,210.0,67.0,123.0,62.0,,,168.0,72.0,87.0,72.0,,
TEXAS,48,4813170,CASTLEBERRY ISD,13APR16,307.0,61.0,267.0,62.0,4.0,,319.0,61.0,266.0,62.0,1.0,
TEXAS,48,4813200,CAYUGA ISD,13APR16,38.0,84.0,5.0,,,,49.0,84.0,14.0,25.0,,
TEXAS,48,4813230,CEDAR HILL ISD,13APR16,556.0,63.0,395.0,57.0,1.0,,514.0,55.0,378.0,55.0,1.0,
TEXAS,48,4813260,CELESTE ISD,13APR16,33.0,44.0,21.0,30.0,,,41.0,45.0,17.0,40.0,1.0,
TEXAS,48,4813290,CELINA ISD,13APR16,161.0,72.0,53.0,54.0,,,124.0,92.0,51.0,45.0,,
TEXAS,48,4813320,CENTER ISD,13APR16,195.0,67.0,155.0,62.0,1.0,,186.0,62.0,131.0,52.0,,
TEXAS,48,4813350,CENTER POINT ISD,13APR16,41.0,44.0,28.0,30.0,,,30.0,30.0,22.0,30.0,,
TEXAS,48,4813380,CENTERVILLE ISD,13APR16,5.0,,1.0,,,,8.0,25.0,5.0,,,
TEXAS,48,4813410,CENTERVILLE ISD,13APR16,42.0,64.0,16.0,50.0,,,51.0,44.0,24.0,50.0,,
TEXAS,48,4813440,CENTRAL HEIGHTS ISD,13APR16,86.0,77.0,31.0,64.0,,,73.0,82.0,28.0,70.0,,
TEXAS,48,4813500,CENTRAL ISD,13APR16,108.0,77.0,56.0,64.0,,,85.0,77.0,51.0,74.0,1.0,
TEXAS,48,4813530,LUMBERTON ISD,13APR16,314.0,73.0,93.0,62.0,1.0,,230.0,67.0,72.0,62.0,1.0,
