STNAM,FIPST,LEAID,leanm11,ALL_MTH04numvalid_1112,ALL_MTH04pctprof_1112,ECD_MTH04numvalid_1112,ECD_MTH04pctprof_1112,HOM_MTH04numvalid_1112,HOM_MTH04pctprof_1112,ALL_MTH08numvalid_1112,ALL_MTH08pctprof_1112,ECD_MTH08numvalid_1112,ECD_MTH08pctprof_1112,HOM_MTH08numvalid_1112,HOM_MTH08pctprof_1112
WASHINGTON,53,5304620,Lynden School District,198.0,57.0,88.0,42.0,3.0,,195.0,47.0,66.0,32.0,1.0,
WASHINGTON,53,5304650,Mabton School District,76.0,22.0,76.0,22.0,5.0,,63.0,17.0,63.0,17.0,6.0,25.0
WASHINGTON,53,5304710,Mansfield School District,6.0,25.0,5.0,,,,6.0,25.0,4.0,,,
WASHINGTON,53,5304740,Manson School District,51.0,34.0,41.0,34.0,,,43.0,34.0,35.0,24.0,3.0,
WASHINGTON,53,5304800,Mary M Knight School District,9.0,25.0,6.0,25.0,,,10.0,25.0,3.0,,,
WASHINGTON,53,5304830,Mary Walker School District,33.0,15.0,24.0,10.0,,,36.0,34.0,27.0,50.0,2.0,
WASHINGTON,53,5304860,Marysville School District,836.0,50.0,425.0,40.0,15.0,25.0,843.0,47.0,412.0,41.0,16.0,10.0
WASHINGTON,53,5304890,McCleary School District,32.0,24.0,21.0,30.0,5.0,,45.0,34.0,22.0,30.0,1.0,
WASHINGTON,53,5304920,Mead School District,657.0,78.0,216.0,62.0,10.0,25.0,806.0,67.0,217.0,57.0,11.0,25.0
WASHINGTON,53,5304950,Medical Lake School District,149.0,57.0,56.0,44.0,1.0,,150.0,52.0,51.0,44.0,1.0,
WASHINGTON,53,5304980,Mercer Island School District,324.0,89.0,18.0,70.0,,,350.0,90.0,9.0,25.0,1.0,
WASHINGTON,53,5305010,Meridian School District,107.0,62.0,46.0,44.0,,,107.0,67.0,52.0,54.0,,
WASHINGTON,53,5305020,Methow Valley School District,30.0,70.0,19.0,50.0,,,42.0,84.0,13.0,25.0,,
WASHINGTON,53,5305040,Mill A School District,,,,,,,5.0,,5.0,,,
WASHINGTON,53,5305130,Monroe School District,398.0,54.0,139.0,32.0,3.0,,385.0,41.0,125.0,22.0,8.0,25.0
WASHINGTON,53,5305160,Montesano School District,102.0,52.0,43.0,44.0,2.0,,98.0,47.0,37.0,34.0,,
WASHINGTON,53,5305190,Morton School District,30.0,30.0,18.0,30.0,,,30.0,30.0,19.0,30.0,,
WASHINGTON,53,5305220,Moses Lake School District,604.0,52.0,392.0,42.0,12.0,25.0,552.0,59.0,362.0,50.0,13.0,25.0
WASHINGTON,53,5305250,Mossyrock School District,40.0,54.0,26.0,50.0,,,49.0,44.0,22.0,30.0,2.0,
WASHINGTON,53,5305280,Mount Adams School District,90.0,12.0,72.0,12.0,23.0,10.0,71.0,27.0,63.0,27.0,15.0,25.0
WASHINGTON,53,5305310,Mount Baker School District,124.0,47.0,85.0,47.0,2.0,,142.0,62.0,87.0,62.0,,
WASHINGTON,53,5305340,Mount Pleasant School District,9.0,25.0,2.0,,,,,,,,,
WASHINGTON,53,5305370,East Valley School District (Yakima),220.0,52.0,135.0,42.0,,,222.0,22.0,127.0,17.0,1.0,
WASHINGTON,53,5305400,Mount Vernon School District,444.0,45.0,334.0,38.0,17.0,30.0,476.0,41.0,317.0,28.0,11.0,25.0
WASHINGTON,53,5305430,Mukilteo School District,1127.0,63.0,606.0,48.0,8.0,25.0,1117.0,62.0,521.0,50.0,8.0,25.0
WASHINGTON,53,5305460,Naches Valley School District,108.0,37.0,53.0,24.0,,,113.0,52.0,47.0,34.0,,
WASHINGTON,53,5305490,Napavine School District,44.0,64.0,23.0,50.0,,,51.0,64.0,26.0,50.0,,
WASHINGTON,53,5305520,Naselle-Grays River Valley School District,25.0,50.0,15.0,25.0,,,23.0,70.0,13.0,25.0,,
WASHINGTON,53,5305550,Nespelem School District,19.0,30.0,13.0,25.0,1.0,,8.0,25.0,6.0,25.0,,
WASHINGTON,53,5305610,Newport School District,80.0,57.0,53.0,44.0,,,73.0,67.0,45.0,54.0,3.0,
WASHINGTON,53,5305640,Nine Mile Falls School District,93.0,77.0,22.0,50.0,,,141.0,47.0,38.0,34.0,2.0,
WASHINGTON,53,5305670,Nooksack Valley School District,113.0,67.0,58.0,54.0,,,117.0,57.0,72.0,37.0,1.0,
WASHINGTON,53,5305700,North Beach School District,47.0,54.0,31.0,44.0,3.0,,52.0,24.0,32.0,15.0,3.0,
WASHINGTON,53,5305730,North Franklin School District,150.0,42.0,121.0,32.0,3.0,,141.0,42.0,101.0,27.0,,
WASHINGTON,53,5305760,North Kitsap School District,454.0,65.0,179.0,47.0,13.0,25.0,486.0,48.0,164.0,37.0,9.0,25.0
WASHINGTON,53,5305790,North Mason School District,140.0,42.0,68.0,37.0,2.0,,138.0,47.0,64.0,37.0,1.0,
WASHINGTON,53,5305820,North River School District,3.0,,1.0,,,,9.0,25.0,5.0,,,
WASHINGTON,53,5305850,North Thurston Public Schools,999.0,58.0,440.0,45.0,12.0,25.0,1038.0,58.0,406.0,43.0,8.0,25.0
WASHINGTON,53,5305880,Northport School District,13.0,25.0,13.0,25.0,1.0,,14.0,25.0,12.0,25.0,,
WASHINGTON,53,5305910,Northshore School District,1425.0,76.0,298.0,42.0,12.0,25.0,1460.0,76.0,250.0,52.0,2.0,
WASHINGTON,53,5305940,Oak Harbor School District,418.0,61.0,185.0,52.0,12.0,25.0,391.0,50.0,152.0,42.0,13.0,25.0
WASHINGTON,53,5305970,Oakesdale School District,7.0,25.0,4.0,,,,7.0,25.0,3.0,,,
WASHINGTON,53,5306000,Oakville School District,18.0,50.0,15.0,25.0,,,19.0,30.0,14.0,25.0,,
WASHINGTON,53,5306060,Ocean Beach School District,72.0,42.0,45.0,24.0,5.0,,74.0,37.0,45.0,24.0,2.0,
WASHINGTON,53,5306090,Ocosta School District,55.0,54.0,41.0,54.0,3.0,,54.0,54.0,33.0,44.0,2.0,
WASHINGTON,53,5306120,Odessa School District,21.0,40.0,10.0,25.0,,,15.0,25.0,8.0,25.0,,
WASHINGTON,53,5306150,Okanogan School District,86.0,42.0,52.0,34.0,,,87.0,32.0,54.0,15.0,,
WASHINGTON,53,5306180,Olympia School District,577.0,71.0,165.0,47.0,14.0,25.0,652.0,68.0,162.0,47.0,19.0,50.0
WASHINGTON,53,5306220,Omak School District,107.0,37.0,73.0,22.0,2.0,,110.0,27.0,67.0,22.0,,
WASHINGTON,53,5306240,Onalaska School District,46.0,54.0,30.0,50.0,2.0,,54.0,34.0,33.0,24.0,2.0,
WASHINGTON,53,5306270,Onion Creek School District,6.0,25.0,6.0,25.0,,,5.0,,5.0,,,
WASHINGTON,53,5306300,Orcas Island School District,34.0,54.0,11.0,25.0,,,44.0,74.0,13.0,25.0,,
WASHINGTON,53,5306330,Orchard Prairie School District,5.0,,,,,,,,,,,
WASHINGTON,53,5306360,Orient School District,4.0,,3.0,,,,4.0,,3.0,,,
WASHINGTON,53,5306390,Orondo School District,30.0,30.0,30.0,30.0,8.0,25.0,,,,,,
WASHINGTON,53,5306420,Oroville School District,44.0,54.0,36.0,44.0,4.0,,39.0,15.0,29.0,10.0,2.0,
WASHINGTON,53,5306450,Orting School District,169.0,52.0,70.0,42.0,,,178.0,47.0,57.0,34.0,1.0,
WASHINGTON,53,5306480,Othello School District,305.0,54.0,252.0,52.0,6.0,25.0,274.0,57.0,220.0,52.0,5.0,
WASHINGTON,53,5306510,Palisades School District,1.0,,,,,,,,,,,
WASHINGTON,53,5306540,Palouse School District,10.0,25.0,2.0,,,,19.0,30.0,4.0,,,
WASHINGTON,53,5306570,Pasco School District,1198.0,48.0,878.0,38.0,7.0,25.0,1151.0,41.0,825.0,34.0,11.0,25.0
WASHINGTON,53,5306600,Pateros School District,18.0,50.0,13.0,25.0,1.0,,20.0,70.0,15.0,25.0,,
WASHINGTON,53,5306630,Paterson School District,8.0,25.0,8.0,25.0,,,12.0,25.0,12.0,25.0,,
WASHINGTON,53,5306660,Pe Ell School District,19.0,70.0,10.0,25.0,,,25.0,50.0,17.0,30.0,2.0,
WASHINGTON,53,5306690,Peninsula School District,630.0,71.0,173.0,62.0,1.0,,837.0,68.0,196.0,52.0,4.0,
WASHINGTON,53,5306750,Pioneer School District,79.0,27.0,54.0,24.0,5.0,,70.0,42.0,35.0,44.0,,
WASHINGTON,53,5306780,Pomeroy School District,25.0,50.0,13.0,25.0,,,26.0,50.0,13.0,25.0,,
WASHINGTON,53,5306820,Port Angeles School District,273.0,62.0,152.0,52.0,6.0,25.0,300.0,72.0,139.0,62.0,6.0,25.0
WASHINGTON,53,5306840,Port Townsend School District,77.0,57.0,39.0,54.0,2.0,,107.0,62.0,53.0,54.0,2.0,
WASHINGTON,53,5306870,Prescott School District,32.0,24.0,30.0,30.0,,,31.0,34.0,19.0,50.0,,
WASHINGTON,53,5306900,Prosser School District,221.0,52.0,150.0,42.0,12.0,25.0,245.0,62.0,153.0,57.0,9.0,25.0
WASHINGTON,53,5306930,Pullman School District,197.0,72.0,66.0,52.0,3.0,,164.0,57.0,43.0,24.0,2.0,
WASHINGTON,53,5306960,Puyallup School District,1460.0,64.0,597.0,50.0,19.0,70.0,1683.0,66.0,577.0,50.0,13.0,25.0
WASHINGTON,53,5306990,Quilcene School District,25.0,50.0,9.0,25.0,,,25.0,30.0,8.0,25.0,,
WASHINGTON,53,5307020,Quillayute Valley School District,75.0,52.0,45.0,44.0,1.0,,70.0,52.0,43.0,44.0,,
WASHINGTON,53,5307050,Lake Quinault School District,8.0,25.0,7.0,25.0,1.0,,14.0,25.0,14.0,25.0,2.0,
WASHINGTON,53,5307080,Quincy School District,187.0,47.0,158.0,42.0,,,200.0,37.0,172.0,32.0,,
WASHINGTON,53,5307110,Rainier School District,47.0,74.0,23.0,70.0,3.0,,69.0,57.0,38.0,44.0,2.0,
WASHINGTON,53,5307140,Raymond School District,31.0,34.0,26.0,30.0,,,48.0,44.0,32.0,24.0,,
WASHINGTON,53,5307210,Reardan-Edwall School District,50.0,74.0,20.0,70.0,,,44.0,44.0,14.0,25.0,,
WASHINGTON,53,5307230,Renton School District,1083.0,56.0,618.0,41.0,22.0,30.0,1005.0,52.0,566.0,41.0,20.0,10.0
