"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Connecticut","2015","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2016","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2017","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2018","LSPR","Elementary-secondary education school system State ranking for revenue from local sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2014","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2016","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2017","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","3"
"Annual Survey of School System Finance","Connecticut","2018","TOTREVPR","Elementary-secondary education school system State ranking for total revenue per pupil","State and Local ","3"
"Annual Survey of School System Finance","District of Columbia","2013","CSITPR","Elementary-secondary education school system State ranking for current expenditures Instruction Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","District of Columbia","2015","CSPR","Elementary-secondary education school system State ranking for current expenditures Total per pupil","State and Local ","3"
"Annual Survey of School System Finance","Hawaii","2013","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Hawaii","2014","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Hawaii","2015","SSPR","Elementary-secondary education school system State ranking for revenue from state sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Illinois","2018","CSIEBPR","Elementary-secondary education school system State ranking for current expenditures Instruction Employee benefits per pupil","State and Local ","3"
"Annual Survey of School System Finance","Illinois","2013","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Illinois","2014","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Illinois","2015","CSSGAPR","Elementary-secondary education school system State ranking for current expenditures Support Services General administration per pupil","State and Local ","3"
"Annual Survey of School System Finance","Louisiana","2012","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Louisiana","2013","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","3"
"Annual Survey of School System Finance","Louisiana","2014","FSPR","Elementary-secondary education school system State ranking for revenue from federal sources per pupil","State and Local ","3"
