"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Arkansas","2018","SS","Elementary-secondary education school system revenue from state sources","State and Local ","4228639"
"Annual Survey of School System Finance","Arkansas","2012","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","197449"
"Annual Survey of School System Finance","Arkansas","2013","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","196768"
"Annual Survey of School System Finance","Arkansas","2014","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","204167"
"Annual Survey of School System Finance","Arkansas","2015","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","123599"
"Annual Survey of School System Finance","Arkansas","2016","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","113248"
"Annual Survey of School System Finance","Arkansas","2017","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","112685"
"Annual Survey of School System Finance","Arkansas","2018","SSCP","Elementary-secondary education school system revenue from state sources compensatory programs","State and Local ","109006"
"Annual Survey of School System Finance","Arkansas","2012","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1877746"
"Annual Survey of School System Finance","Arkansas","2013","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1905348"
"Annual Survey of School System Finance","Arkansas","2014","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1949612"
"Annual Survey of School System Finance","Arkansas","2015","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1984296"
"Annual Survey of School System Finance","Arkansas","2016","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1989174"
"Annual Survey of School System Finance","Arkansas","2017","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1995831"
"Annual Survey of School System Finance","Arkansas","2018","SSGFA","Elementary-secondary education school system revenue from state sources general formula assistance","State and Local ","1996099"
"Annual Survey of School System Finance","Arkansas","2012","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","137282"
"Annual Survey of School System Finance","Arkansas","2013","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","145503"
"Annual Survey of School System Finance","Arkansas","2014","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","192962"
"Annual Survey of School System Finance","Arkansas","2015","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","173659"
"Annual Survey of School System Finance","Arkansas","2016","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","180871"
"Annual Survey of School System Finance","Arkansas","2017","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","193336"
"Annual Survey of School System Finance","Arkansas","2018","SSLEA","Elementary-secondary education school system revenue from state sources state payments on behalf of LEA","State and Local ","199548"
"Annual Survey of School System Finance","Arkansas","2012","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1344522"
"Annual Survey of School System Finance","Arkansas","2013","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1315755"
"Annual Survey of School System Finance","Arkansas","2014","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1374284"
"Annual Survey of School System Finance","Arkansas","2015","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1497433"
"Annual Survey of School System Finance","Arkansas","2016","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1536536"
"Annual Survey of School System Finance","Arkansas","2017","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1523946"
"Annual Survey of School System Finance","Arkansas","2018","SSON","Elementary-secondary education school system revenue from state sources other and nonspecified","State and Local ","1603394"
"Annual Survey of School System Finance","Arkansas","2012","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","247478"
"Annual Survey of School System Finance","Arkansas","2013","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","265381"
"Annual Survey of School System Finance","Arkansas","2014","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","267956"
"Annual Survey of School System Finance","Arkansas","2015","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","277405"
"Annual Survey of School System Finance","Arkansas","2016","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","283945"
"Annual Survey of School System Finance","Arkansas","2017","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","293400"
"Annual Survey of School System Finance","Arkansas","2018","SSSE","Elementary-secondary education school system revenue from state sources special education","State and Local ","301357"
"Annual Survey of School System Finance","Arkansas","2012","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arkansas","2013","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arkansas","2014","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arkansas","2015","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arkansas","2016","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arkansas","2017","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arkansas","2018","SSTP","Elementary-secondary education school system revenue from state sources transportation programs","State and Local ","0"
"Annual Survey of School System Finance","Arkansas","2012","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","18695"
"Annual Survey of School System Finance","Arkansas","2013","SSVP","Elementary-secondary education school system revenue from state sources vocational programs","State and Local ","18290"
