"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Arizona","2017","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","5315486"
"Annual Survey of School System Finance","Arizona","2018","DBTOUT","Elementary-secondary education school system debt outstanding","State and Local ","5693955"
"Annual Survey of School System Finance","Arizona","2012","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1050228"
"Annual Survey of School System Finance","Arizona","2013","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1178356"
"Annual Survey of School System Finance","Arizona","2014","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1102980"
"Annual Survey of School System Finance","Arizona","2015","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1093834"
"Annual Survey of School System Finance","Arizona","2016","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1160908"
"Annual Survey of School System Finance","Arizona","2017","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1178196"
"Annual Survey of School System Finance","Arizona","2018","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1170223"
"Annual Survey of School System Finance","Arizona","2012","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3973481"
"Annual Survey of School System Finance","Arizona","2013","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3985395"
"Annual Survey of School System Finance","Arizona","2014","LS","Elementary-secondary education school system revenue from local sources","State and Local ","4008326"
"Annual Survey of School System Finance","Arizona","2015","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3833285"
"Annual Survey of School System Finance","Arizona","2016","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3828455"
"Annual Survey of School System Finance","Arizona","2017","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3977062"
"Annual Survey of School System Finance","Arizona","2018","LS","Elementary-secondary education school system revenue from local sources","State and Local ","4111452"
"Annual Survey of School System Finance","Arizona","2012","O","Elementary-secondary education school system total expenditure other","State and Local ","220608"
