"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alaska","2016","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","359"
"Annual Survey of School System Finance","Alaska","2017","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","403"
"Annual Survey of School System Finance","Alaska","2018","LSTTC","Elementary-secondary education school system revenue from local sources Tuition and transportation charges","State and Local ","970"
"Annual Survey of School System Finance","Arizona","2012","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3973481"
"Annual Survey of School System Finance","Arizona","2013","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3985395"
"Annual Survey of School System Finance","Arizona","2014","LS","Elementary-secondary education school system revenue from local sources","State and Local ","4008326"
"Annual Survey of School System Finance","Arizona","2015","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3833285"
"Annual Survey of School System Finance","Arizona","2016","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3828455"
"Annual Survey of School System Finance","Arizona","2017","LS","Elementary-secondary education school system revenue from local sources","State and Local ","3977062"
"Annual Survey of School System Finance","Arizona","2018","LS","Elementary-secondary education school system revenue from local sources","State and Local ","4111452"
"Annual Survey of School System Finance","Arizona","2012","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","291716"
"Annual Survey of School System Finance","Arizona","2013","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","294685"
"Annual Survey of School System Finance","Arizona","2014","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","302556"
"Annual Survey of School System Finance","Arizona","2015","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","288290"
"Annual Survey of School System Finance","Arizona","2016","LSNLG","Elementary-secondary education school system revenue from local sources Nonschool local government","State and Local ","287741"
