"Survey Component (SVY_COMP_LABEL)","Geographic Area Name (NAME)","Year (YEAR)","Aggregate Description (AGG_DESC)","Meaning of Aggregate Description (AGG_DESC_LABEL)","Type of Government (GOVTYPE_LABEL)","Amount Formatted (AMOUNT_FORMATTED)"
"Annual Survey of School System Finance","Alaska","2013","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","31617"
"Annual Survey of School System Finance","Alaska","2014","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","22186"
"Annual Survey of School System Finance","Alaska","2015","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","24598"
"Annual Survey of School System Finance","Alaska","2016","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","41482"
"Annual Survey of School System Finance","Alaska","2017","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","44571"
"Annual Survey of School System Finance","Alaska","2018","FSDSON","Elementary-secondary education school system revenue from Federal sources - distributed through state other and nonspecified","State and Local ","45062"
"Annual Survey of School System Finance","Alaska","2012","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","34714"
"Annual Survey of School System Finance","Alaska","2013","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","33653"
"Annual Survey of School System Finance","Alaska","2014","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","34573"
"Annual Survey of School System Finance","Alaska","2015","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","34841"
"Annual Survey of School System Finance","Alaska","2016","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","33465"
"Annual Survey of School System Finance","Alaska","2017","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","34246"
"Annual Survey of School System Finance","Alaska","2018","FSDSSE","Elementary-secondary education school system revenue from Federal sources - distributed through state special education","State and Local ","36299"
"Annual Survey of School System Finance","Alaska","2012","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","47780"
"Annual Survey of School System Finance","Alaska","2013","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","45915"
"Annual Survey of School System Finance","Alaska","2014","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","46361"
"Annual Survey of School System Finance","Alaska","2015","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","46570"
"Annual Survey of School System Finance","Alaska","2016","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","43804"
"Annual Survey of School System Finance","Alaska","2017","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","45712"
"Annual Survey of School System Finance","Alaska","2018","FSDSTIT","Elementary-secondary education school system revenue from Federal sources - distributed through state Title 1","State and Local ","53246"
"Annual Survey of School System Finance","Alaska","2012","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","184663"
"Annual Survey of School System Finance","Alaska","2013","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","153783"
"Annual Survey of School System Finance","Alaska","2014","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","146915"
"Annual Survey of School System Finance","Alaska","2015","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","155447"
"Annual Survey of School System Finance","Alaska","2016","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","169449"
"Annual Survey of School System Finance","Alaska","2017","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","178632"
"Annual Survey of School System Finance","Alaska","2018","FSDSTOT","Elementary-secondary education school system revenue from Federal sources - distributed through state total","State and Local ","191153"
"Annual Survey of School System Finance","Alaska","2012","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","2972"
"Annual Survey of School System Finance","Alaska","2013","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","2903"
"Annual Survey of School System Finance","Alaska","2014","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","3497"
"Annual Survey of School System Finance","Alaska","2015","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","3381"
"Annual Survey of School System Finance","Alaska","2016","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","3297"
"Annual Survey of School System Finance","Alaska","2017","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","3297"
"Annual Survey of School System Finance","Alaska","2018","FSDSV","Elementary-secondary education school system revenue from Federal sources - distributed through state vocational","State and Local ","4185"
"Annual Survey of School System Finance","Arizona","2012","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1050228"
"Annual Survey of School System Finance","Arizona","2013","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1178356"
"Annual Survey of School System Finance","Arizona","2014","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1102980"
"Annual Survey of School System Finance","Arizona","2015","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1093834"
"Annual Survey of School System Finance","Arizona","2016","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1160908"
"Annual Survey of School System Finance","Arizona","2017","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1178196"
"Annual Survey of School System Finance","Arizona","2018","FS","Elementary-secondary education school system revenue from Federal sources","State and Local ","1170223"
"Annual Survey of School System Finance","Arizona","2012","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","1007"
"Annual Survey of School System Finance","Arizona","2013","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","155040"
"Annual Survey of School System Finance","Arizona","2014","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","131924"
"Annual Survey of School System Finance","Arizona","2015","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","159500"
"Annual Survey of School System Finance","Arizona","2016","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","148761"
"Annual Survey of School System Finance","Arizona","2017","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","172949"
"Annual Survey of School System Finance","Arizona","2018","FSDFAIA","Elementary-secondary education school system revenue from Federal sources - direct federal aid impact aid","State and Local ","169249"
"Annual Survey of School System Finance","Arizona","2012","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","11274"
"Annual Survey of School System Finance","Arizona","2013","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","166196"
"Annual Survey of School System Finance","Arizona","2014","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","141491"
"Annual Survey of School System Finance","Arizona","2015","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","169112"
"Annual Survey of School System Finance","Arizona","2016","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","158543"
"Annual Survey of School System Finance","Arizona","2017","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","183518"
"Annual Survey of School System Finance","Arizona","2018","FSDFATOT","Elementary-secondary education school system revenue from Federal sources - direct federal aid total","State and Local ","180269"
"Annual Survey of School System Finance","Arizona","2012","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","282438"
"Annual Survey of School System Finance","Arizona","2013","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","297479"
"Annual Survey of School System Finance","Arizona","2014","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","309185"
"Annual Survey of School System Finance","Arizona","2015","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","313944"
"Annual Survey of School System Finance","Arizona","2016","FSDSCN","Elementary-secondary education school system revenue from Federal sources - distributed through state child nutrition","State and Local ","326987"
